org,mat,evento,dtEnt,hrEnt,dtSai,hrSai,dtCon,hrCon
ibarp,1,2023-08-13 16:00:00.000000 UTC,2023-08-13,16:47,,,,
ibarp,13,2023-11-05 08:00:00.000000 UTC,2023-11-05,10:13,,,2023-11-05,12:06
ibarp,7,2023-11-05 08:00:00.000000 UTC,2023-11-05,09:17,2023-11-05,09:22,2023-11-05,12:07
ibarp,9,2023-11-05 08:00:00.000000 UTC,2023-11-05,09:54,,,2023-11-05,12:07
ibarp,10,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:21,,,2023-11-05,21:07
ibarp,22,2023-11-05 19:01:00.000000 UTC,2023-11-05,18:44,2023-11-05,21:05,2023-11-05,21:05
ibarp,29,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:00,2023-11-05,20:59,2023-11-05,20:59
ibarp,39,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:13,,,2023-11-05,21:07
ibarp,41,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:16,,,2023-11-05,21:06
ibarp,42,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:18,,,2023-11-05,21:06
ibarp,43,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:21,,,2023-11-05,21:07
ibarp,49,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:32,,,2023-11-05,21:07
ibarp,50,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:36,,,2023-11-05,21:07
ibarp,51,2023-11-05 19:01:00.000000 UTC,2023-11-05,19:36,2023-11-05,20:57,2023-11-05,20:57
ibarp,55,2023-11-05 19:01:00.000000 UTC,2023-11-05,20:23,,,2023-11-05,21:07
ibarp,22,2023-11-08 19:50:00.000000 UTC,2023-11-08,19:46,,,2023-11-08,22:02
ibarp,27,2023-11-08 19:50:00.000000 UTC,2023-11-08,20:41,,,2023-11-08,22:01
ibarp,63,2023-11-08 19:50:00.000000 UTC,2023-11-08,20:21,,,2023-11-08,21:59
ibarp,56,2023-11-15 20:00:00.000000 UTC,2023-11-15,19:56,2023-11-15,21:55,2023-11-15,21:55
ibarp,95,2023-11-15 20:00:00.000000 UTC,2023-11-15,19:55,2023-11-15,21:54,2023-11-15,21:54
ibarp,96,2023-11-15 20:00:00.000000 UTC,2023-11-15,20:02,2023-11-15,21:55,2023-11-15,21:55
ibarp,98,2023-11-15 20:00:00.000000 UTC,2023-11-15,20:13,2023-11-15,21:53,2023-11-15,21:53
ibarp,107,2023-11-19 19:43:00.000000 UTC,2023-11-19,20:03,,,,
ibarp,112,2023-11-19 19:43:00.000000 UTC,2023-11-19,20:12,,,,
ibarp,34,2023-11-19 19:43:00.000000 UTC,2023-11-19,19:53,,,,
ibarp,57,2023-11-19 19:43:00.000000 UTC,2023-11-19,19:46,,,,
ibarp,64,2023-11-19 19:43:00.000000 UTC,2023-11-19,19:53,,,,
ibarp,56,2023-11-26 10:00:00.000000 UTC,2023-11-26,09:59,,,,
